ID;date;treatment;munic;session;dec1;dec2;dec3;dec4;minutes;sex;age;civil_status;level_educ;activity;income;income_nr;e_food;e_housing;e_transport;e_other1;e_other;frequency;frequency_otro;subsidy;subsidy_other;social_security;financial_planning;households_adults;households_kids;siblings;risk;land;land_owner;debts;trusted_person;death_shock;illness_shock;job_shock;housing_shock;farming_shock;violence_shock;naturaldisaster_shock;problems;problems_illness;problems_accident;problems_dental;problems_other
1;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;v;e;v;4.19;1.mujer;53;5.divorciado/separado;2.primaria;1.trabajador en su propia finca ;500000;;;;;;;3.cada 15 dias;;1.No;;1.subsidiado;4.nada ;2;0;3;9;1.si;0.no;0.no;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
2;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;v;v;4.21;1.mujer;42;2.casado;5.universitario;1.trabajador en su propia finca ;908526;;;;;;;3.cada 15 dias;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;3;0;3;8;1.si;0.no;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si
3;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;v;v;v;4.52;1.mujer;32;4.soltero;4.tecnico;2.jornalero;908526;;;;;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;2;1;2;3;0.no;0.no;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
4;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;v;v;4.13;1.mujer;25;5.divorciado/separado;4.tecnico;2.jornalero;500000;;;;50;algunos Aguacate;;3.cada 15 dias;;1.No;;1.subsidiado;4.nada ;4;0;2;9;1.si;1.si;0.no;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
5;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;e;v;4.02;1.mujer;20;4.soltero;4.tecnico;1.trabajador en su propia finca ;200000;;;;;;;3.cada 15 dias;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;2;0;1;6;1.si;1.si;1.si;1.si;1.si;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no
6;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;e;e;5.44;1.mujer;20;4.soltero;3.bachillerato;2.jornalero;500000;;;;50;AGUACAAATES;;3.cada 15 dias;;1.No;;1.subsidiado;4.nada ;4;0;2;8;1.si;1.si;0.no;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
7;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;e;e;7.06;1.mujer;19;5.divorciado/separado;3.bachillerato;2.jornalero;500000;;;;50;dos bolsas de aguacates;;3.cada 15 dias;;1.No;;1.subsidiado;4.nada ;4;0;2;7;1.si;1.si;0.no;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
8;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;e;v;5.26;0.hombre;18;5.divorciado/separado;3.bachillerato;2.jornalero;500000;;;;100;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;3;0;0;10;1.si;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
9;3/07/2021;3.ascendente - fee voucher ;6.Circasia;2;e;e;e;e;5.14;1.mujer;32;2.casado;4.tecnico;2.jornalero;908526;;;;;;;4.cada mes;;1.No;;2.contributivo;2.fondo de pensiones voluntarias;2;1;2;4;0.no;0.no;1.si;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si
1;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;e;e;e;4.24;1.mujer;48;3.viudo;5.universitario;1.trabajador en su propia finca ;200000;;;;;;;3.cada 15 dias;;1.No;;2.contributivo;4.nada ;2;1;1;5;1.si;1.si;1.si;0.no;0.no;0.no;1.si;0.no;1.si;0.no;0.no;1.si;0.no;0.no;1.si;1.si
2;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;e;e;e;e;4.29;1.mujer;69;2.casado;2.primaria;3.otra;;1;;;;;;99.No registra;;3.otro;AM;1.subsidiado;4.nada ;2;0;8;1;0.no;99.No registra/no aplica;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
3;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;v;v;v;4.18;1.mujer;48;5.divorciado/separado;3.bachillerato;1.trabajador en su propia finca ;500000;;;;;;;4.cada mes;;3.otro;Ingreso solidario;1.subsidiado;2.fondo de pensiones voluntarias;3;0;4;9;1.si;1.si;1.si;1.si;0.no;0.no;1.si;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
4;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;v;v;v;6.37;0.hombre;35;4.soltero;3.bachillerato;1.trabajador en su propia finca ;700000;;;;;;;4.cada mes;;1.No;;2.contributivo;2.fondo de pensiones voluntarias;1;0;1;10;1.si;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
5;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;v;v;v;5.16;0.hombre;74;2.casado;1.ninguno;2.jornalero;480000;;;;;;;2.cada semana ;;2.Si, FeA;;1.subsidiado;4.nada ;2;0;2;3;0.no;99.No registra/no aplica;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
6;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;v;v;v;6.23;1.mujer;44;4.soltero;3.bachillerato;1.trabajador en su propia finca ;250000;;;;;100000;;3.cada 15 dias;;1.No;-;1.subsidiado;3.preparando a los hijos;4;0;4;5;0.no;99.No registra/no aplica;0.no;1.si;1.si;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no
7;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;e;e;v;5.22;1.mujer;32;4.soltero;5.universitario;3.otra;1000000;;;;;;;4.cada mes;;1.No;na;2.contributivo;1.fondo de pensiones obligatorias;2;0;1;5;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
8;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;v;v;v;v;3.35;1.mujer;56;3.viudo;2.primaria;3.otra;;1;;;;;;99.No registra;;1.No;;1.subsidiado;4.nada ;2;0;5;10;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
9;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;e;e;e;e;6.39;1.mujer;23;1.union libre;4.tecnico;3.otra;800000;;;;200;;;3.cada 15 dias;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;2;0;1;6;1.si;0.no;1.si;1.si;0.no;0.no;0.no;0.no;1.si;0.no;0.no;1.si;1.si;0.no;0.no;0.no
10;3/07/2021;2.descendente - fee efectivo ;6.Circasia;1;e;e;e;e;4.51;1.mujer;37;2.casado;4.tecnico;1.trabajador en su propia finca ;300000;;;;;;;2.cada semana ;;1.No;;2.contributivo;4.nada ;3;1;7;8;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;1.si;0.no;0.no;1.si;0.no;0.no;0.no;1.si
1;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;e;e;e;v;4.56;0.hombre;56;4.soltero;3.bachillerato;2.jornalero;480000;;200000;;;;;2.cada semana ;;1.No;;1.subsidiado;4.nada ;1;1;2;8;0.no;;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
2;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;e;e;e;e;5.3;0.hombre;63;4.soltero;1.ninguno;2.jornalero;480000;;;;;;;2.cada semana ;;1.No;;1.subsidiado;4.nada ;1;0;1;5;0.no;;0.no;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;1.si;1.si;0.no;1.si;0.no
